Path points with orientation:
        X        Y   orientation
  550.031  500.039         0.898
  550.118  500.144         0.878
  550.254  500.286         0.807
  550.436  500.435         0.687
  550.649  500.566         0.552
  550.877  500.669         0.425
  551.115  500.744         0.303
  551.361  500.791         0.188
  551.610  500.810         0.078
  551.860  500.803        -0.027
  552.108  500.772        -0.128
  552.352  500.716        -0.224
  552.589  500.638        -0.316
  552.819  500.540        -0.405
  553.040  500.422        -0.491
  553.250  500.286        -0.573
  553.448  500.134        -0.653
  553.635  499.968        -0.730
  553.808  499.788        -0.804
  553.968  499.596        -0.876
  554.115  499.393        -0.945
  554.247  499.181        -1.013
  554.365  498.961        -1.078
  554.469  498.734        -1.142
  554.559  498.500        -1.204
  554.635  498.262        -1.264
  554.696  498.020        -1.322
  554.744  497.774        -1.379
  554.778  497.527        -1.434
  554.799  497.277        -1.488
  554.806  497.028        -1.540
  554.801  496.778        -1.591
  554.784  496.528        -1.641
  554.754  496.280        -1.689
  554.713  496.033        -1.737
  554.661  495.789        -1.782
  554.597  495.547        -1.827
  554.523  495.308        -1.871
  554.439  495.073        -1.913
  554.346  494.841        -1.955
  554.243  494.613        -1.995
  554.131  494.390        -2.034
  554.011  494.170        -2.072
  553.882  493.956        -2.109
  553.747  493.746        -2.146
  553.603  493.541        -2.181
  553.453  493.341        -2.215
  553.297  493.146        -2.248
  553.134  492.956        -2.280
  552.966  492.772        -2.311
  552.791  492.592        -2.341
  552.612  492.418        -2.370
  552.428  492.249        -2.398
  552.240  492.084        -2.425
  552.047  491.925        -2.451
  551.851  491.771        -2.476
  551.650  491.621        -2.500
  551.446  491.476        -2.524
  551.240  491.336        -2.546
  551.030  491.200        -2.567
  550.817  491.069        -2.587
  550.602  490.941        -2.607
  550.385  490.818        -2.625
  550.165  490.698        -2.643
  549.944  490.582        -2.659
  549.720  490.469        -2.675
  549.496  490.360        -2.689
  549.269  490.254        -2.703
  549.042  490.150        -2.715
  548.813  490.050        -2.727
  548.583  489.952        -2.738
  548.352  489.856        -2.748
  548.120  489.762        -2.756
  547.888  489.669        -2.764
  547.655  489.579        -2.771
  547.421  489.490        -2.777
  547.187  489.402        -2.782
  546.953  489.315        -2.786
  546.718  489.229        -2.790
  546.483  489.143        -2.792
  546.248  489.058        -2.793
  546.013  488.973        -2.794
  545.778  488.888        -2.794
  545.543  488.802        -2.792
  545.309  488.716        -2.790
  545.074  488.629        -2.787
  544.840  488.541        -2.783
  544.606  488.453        -2.778
  544.373  488.362        -2.773
  544.141  488.271        -2.766
  543.909  488.177        -2.759
  543.678  488.082        -2.751
  543.447  487.985        -2.742
  543.218  487.885        -2.732
  542.990  487.783        -2.721
  542.763  487.679        -2.710
  542.537  487.571        -2.698
  542.313  487.461        -2.685
  542.090  487.348        -2.671
  541.869  487.231        -2.656
  541.649  487.111        -2.641
  541.432  486.988        -2.625
  541.217  486.861        -2.608
  541.004  486.730        -2.591
  540.793  486.595        -2.573
  540.585  486.456        -2.554
  540.380  486.314        -2.534
  540.177  486.167        -2.514
  539.978  486.016        -2.493
  539.782  485.861        -2.471
  539.590  485.701        -2.449
  539.401  485.537        -2.426
  539.217  485.368        -2.402
  539.036  485.195        -2.378
  538.860  485.018        -2.353
  538.688  484.836        -2.327
  538.522  484.650        -2.301
  538.360  484.459        -2.274
  538.204  484.264        -2.246
  538.053  484.064        -2.218
  537.908  483.861        -2.189
  537.769  483.653        -2.160
  537.637  483.441        -2.130
  537.511  483.225        -2.099
  537.391  483.005        -2.068
  537.277  482.783        -2.043
  537.168  482.558        -2.025
  537.062  482.331        -2.007
  536.961  482.103        -1.989
  536.863  481.873        -1.971
  536.770  481.641        -1.954
  536.681  481.407        -1.936
  536.595  481.172        -1.919
  536.514  480.936        -1.903
  536.436  480.698        -1.886
  536.363  480.459        -1.870
  536.293  480.219        -1.854
  536.227  479.978        -1.838
  536.165  479.736        -1.822
  536.106  479.493        -1.807
  536.052  479.249        -1.791
  536.001  479.004        -1.776
  535.953  478.759        -1.762
  535.909  478.513        -1.747
  535.869  478.266        -1.733
  535.832  478.019        -1.718
  535.799  477.771        -1.705
  535.769  477.523        -1.691
  535.742  477.274        -1.677
  535.719  477.025        -1.664
  535.699  476.776        -1.651
  535.682  476.527        -1.638
  535.669  476.277        -1.625
  535.658  476.027        -1.613
  535.651  475.777        -1.601
  535.646  475.527        -1.589
  535.645  475.277        -1.577
  535.646  475.027        -1.565
  535.650  474.777        -1.554
  535.657  474.527        -1.543
  535.667  474.278        -1.532
  535.680  474.028        -1.521
  535.695  473.778        -1.510
  535.713  473.529        -1.500
  535.733  473.280        -1.490
  535.756  473.031        -1.480
  535.781  472.782        -1.470
  535.808  472.534        -1.460
  535.838  472.285        -1.451
  535.870  472.038        -1.442
  535.905  471.790        -1.433
  535.941  471.543        -1.424
  535.980  471.296        -1.416
  536.021  471.049        -1.407
  536.063  470.803        -1.399
  536.108  470.557        -1.391
  536.154  470.311        -1.384
  536.203  470.066        -1.376
  536.253  469.821        -1.369
  536.305  469.576        -1.362
  536.359  469.332        -1.355
